scenario_id,rho_hat,rho_true,epsilon,policy,n_paths,mean_wealth,median_wealth,std_wealth,cvar_5,certainty_equivalent,mean_abs_inventory,inventory_variance,fill_rate,spread_capture,adverse_selection
rho0.500_eps0.0200,0.5,0.53,0.02,nominal_hawkes,160,-9.469334022092912,-7.231927867463658,7.63667075223639,-33.88219258620475,-10.130431542202476,2.65625,11.143042452830189,0.038106249999999994,1.0704470000000001,3.045473910663712
rho0.500_eps0.0200,0.5,0.53,0.02,robust_vol_only,160,-9.46929258459301,-7.231892867463746,7.636670955134435,-33.88215558620479,-10.130390161731682,2.65625,11.143042452830189,0.038106249999999994,1.0704884375000001,3.045473910663712
rho0.500_eps0.0200,0.5,0.53,0.02,robust_gamma,160,-9.469168272093016,-7.231787867463699,7.636671563903136,-33.88204458620474,-10.130266020330192,2.65625,11.143042452830189,0.038106249999999994,1.07061275,3.045473910663712
rho0.500_eps0.0200,0.5,0.53,0.02,robust_gamma_abs,160,-9.468965977599492,-7.231367867463821,7.636515512675802,-33.88160058620488,-10.13003773962955,2.65625,11.143042452830189,0.0381,1.0708595000000003,3.044977111930113
rho0.500_eps0.0200,0.5,0.53,0.02,liquidity_guard,160,-9.468965977599492,-7.231367867463821,7.636515512675802,-33.88160058620488,-10.13003773962955,2.65625,11.143042452830189,0.0381,1.0708595000000003,3.044977111930113
rho0.500_eps0.0200,0.5,0.53,0.02,known_true_gamma_no_ambiguity,160,-9.469312187213063,-7.231909424729499,7.636670859148966,-33.88217308960006,-10.13040973737304,2.65625,11.143042452830189,0.038106249999999994,1.0704688348800364,3.045473910663712
rho0.700_eps0.0050,0.7,0.71,0.005,as_poisson,160,-11.09374063070626,-9.56536691526081,7.2181331460181015,-31.15509201000895,-11.661223200421809,2.45625,10.180778301886793,0.062175,1.8061886464497037,4.989417780959871
rho0.700_eps0.0050,0.7,0.71,0.005,nominal_hawkes,160,-11.093159138267094,-9.564702352473297,7.218108711099885,-31.154543308496727,-11.660638386173195,2.45625,10.180778301886793,0.062175,1.8067701388888886,4.989417780959871
rho0.700_eps0.0050,0.7,0.71,0.005,robust_vol_only,160,-11.093142513267143,-9.564683352473402,7.2181080125606325,-31.154527620996788,-11.660621666210798,2.45625,10.180778301886793,0.062175,1.8067867638888881,4.989417780959871
rho0.700_eps0.0050,0.7,0.71,0.005,robust_gamma,160,-11.069985357685205,-9.56449124136217,7.199660137858661,-31.154369002941323,-11.634948245495703,2.45625,10.180778301886793,0.062175,1.8060173611111108,4.98942632889783
rho0.700_eps0.0050,0.7,0.71,0.005,robust_gamma_abs,160,-11.068938598426064,-9.56329494506614,7.199616330223241,-31.153381271459892,-11.63389554954159,2.45625,10.180778301886793,0.062175,1.8070641203703701,4.98942632889783
rho0.700_eps0.0050,0.7,0.71,0.005,liquidity_guard,160,-11.068938598426064,-9.56329494506614,7.199616330223241,-31.153381271459892,-11.63389554954159,2.45625,10.180778301886793,0.062175,1.8070641203703701,4.98942632889783
rho0.700_eps0.0050,0.7,0.71,0.005,known_true_gamma_no_ambiguity,160,-11.070118243469315,-9.564643110829856,7.1996657001823126,-31.154494395166097,-11.635081885080773,2.45625,10.180778301886793,0.062175,1.805884475326991,4.98942632889783
