state_variable,state_bucket,n_events,residual_mean,residual_mean_minus_one,residual_variance,residual_ks_stat,residual_ks_pvalue,mark_log_loss,baseline_mark_log_loss,mark_log_loss_improvement,ticker,beta_fixed,spectral_radius,n_events_fit,size_threshold,spread_threshold,depth_threshold
imbalance_bucket,neutral,7958,0.9503808270115237,-0.04961917298847629,1.7071094131241646,0.21679359276587837,0.0,1.3938781243693315,1.6904216413263335,0.2965435169570021,GOOG,100.0,0.6237547064140724,30000,100.0,0.2899999999999636,209.0
depth_bucket,high,14880,1.0534947828864374,0.053494782886437386,2.1200965250148123,0.20288568667600715,0.0,1.452138410469166,1.7243504798448706,0.27221206937570464,GOOG,100.0,0.6237547064140724,30000,100.0,0.2899999999999636,209.0
depth_bucket,low,15119,0.9473718391697163,-0.052628160830283655,1.8301460060784596,0.22239035350460595,0.0,1.4358806155515904,1.7470623084038015,0.3111816928522111,GOOG,100.0,0.6237547064140724,30000,100.0,0.2899999999999636,209.0
event_group,cancel_delete,12610,1.0037054619102392,0.0037054619102392383,1.7425209225218539,0.15437157782156383,1.935812210461376e-261,1.4361067413856439,1.5566178442289675,0.12051110284332367,INTC,100.0,0.5296770808560964,30000,300.0,0.010000000000001563,27831.0
event_group,execution,2419,1.0010354190836679,0.0010354190836678878,1.6270638000329205,0.15273331962264128,1.9377582506613983e-49,2.863898067853858,3.1992751916889746,0.33537712383511664,INTC,100.0,0.5296770808560964,30000,300.0,0.010000000000001563,27831.0
event_group,limit,14970,0.93038264379938,-0.06961735620062004,1.6249481296388468,0.20636834661088785,0.0,1.2268302287589277,1.386018650218457,0.15918842145952938,INTC,100.0,0.5296770808560964,30000,300.0,0.010000000000001563,27831.0
side,buy,16193,0.9392012803437855,-0.06079871965621453,1.6950329721694934,0.2014211682436545,0.0,1.3921829597827104,1.5402763998350917,0.14809344005238123,INTC,100.0,0.5296770808560964,30000,300.0,0.010000000000001563,27831.0
side,sell,13806,0.9993895696451766,-0.0006104303548234435,1.6513167630674255,0.14909051120970343,5.608978060884856e-267,1.5108724678959269,1.678618075884657,0.16774560798873006,INTC,100.0,0.5296770808560964,30000,300.0,0.010000000000001563,27831.0
size_bucket,large,12436,0.7442048666397721,-0.25579513336022786,1.4106277151935154,0.3026632780055655,0.0,1.3135461583979176,1.551058100829533,0.23751194243161544,INTC,100.0,0.5296770808560964,30000,300.0,0.010000000000001563,27831.0
size_bucket,small,17563,1.1245873147865413,0.12458731478654128,1.8035983272379035,0.09712014097414508,2.574526484628909e-144,1.5411640342593007,1.6413903294583576,0.1002262951990569,INTC,100.0,0.5296770808560964,30000,300.0,0.010000000000001563,27831.0
spread_bucket,tight,20024,1.2911683077962022,0.2911683077962022,1.8082001256156415,0.09163070975256538,1.85906745326836e-146,1.5906072230568016,1.6524446607599959,0.061837437703194276,INTC,100.0,0.5296770808560964,30000,300.0,0.010000000000001563,27831.0
spread_bucket,wide,9975,0.3159603544678778,-0.6840396455321223,0.7751808726344203,0.5746554563546358,0.0,1.1581358320845316,1.5065809534972485,0.3484451214127169,INTC,100.0,0.5296770808560964,30000,300.0,0.010000000000001563,27831.0
imbalance_bucket,ask_heavy,10297,0.9858662292511395,-0.014133770748860464,1.5998031368004393,0.14568380984722093,3.0100147562368833e-190,1.5108140657731743,1.6661695833935466,0.15535551762037225,INTC,100.0,0.5296770808560964,30000,300.0,0.010000000000001563,27831.0
imbalance_bucket,bid_heavy,14808,0.9137449216342574,-0.08625507836574264,1.6757199176046151,0.2199362982895017,0.0,1.40868162513653,1.579848505987593,0.17116688085106313,INTC,100.0,0.5296770808560964,30000,300.0,0.010000000000001563,27831.0
imbalance_bucket,neutral,4894,1.0878339536103725,0.0878339536103725,1.8124509249196474,0.11687210474596718,1.7296528725216167e-58,1.4274854963719843,1.545923992914913,0.1184384965429286,INTC,100.0,0.5296770808560964,30000,300.0,0.010000000000001563,27831.0
depth_bucket,high,15007,0.8572776577823386,-0.14272234221766145,1.4826116983979756,0.22720148015935357,0.0,1.381686859307725,1.5641321400136707,0.1824452807059458,INTC,100.0,0.5296770808560964,30000,300.0,0.010000000000001563,27831.0
depth_bucket,low,14992,1.0766337327100237,0.07663373271002372,1.8451378442455588,0.12859794594315405,8.963628849649597e-216,1.5119896786220368,1.6437944152219885,0.13180473659995173,INTC,100.0,0.5296770808560964,30000,300.0,0.010000000000001563,27831.0
event_group,cancel_delete,12584,1.0740468566040113,0.07404685660401134,2.153188400466988,0.16643322343625927,3.395261462757598e-303,1.4210151901866894,1.5598861531747392,0.1388709629880498,MSFT,100.0,0.5463582850875636,30000,330.0,0.010000000000001563,27621.0
event_group,execution,2447,1.1114607063615976,0.11146070636159755,2.0042703421731414,0.1316555880636056,2.886789051260821e-37,2.815343594998881,3.1990364543133825,0.38369285931450126,MSFT,100.0,0.5463582850875636,30000,330.0,0.010000000000001563,27621.0
event_group,limit,14968,0.8210420578738881,-0.17895794212611194,1.7912029638592877,0.2802591396285593,0.0,1.2013694572809974,1.3843932769776697,0.18302381969667225,MSFT,100.0,0.5463582850875636,30000,330.0,0.010000000000001563,27621.0
side,buy,13916,0.995373837755241,-0.00462616224475898,2.072058164692147,0.21584661618758935,0.0,1.4969737338110725,1.694416352957003,0.19744261914593064,MSFT,100.0,0.5463582850875636,30000,330.0,0.010000000000001563,27621.0
side,sell,16083,0.9123475214839353,-0.08765247851606472,1.8920009564544424,0.2237282839460613,0.0,1.3630176265086522,1.529549845010749,0.16653221850209676,MSFT,100.0,0.5463582850875636,30000,330.0,0.010000000000001563,27621.0
size_bucket,large,14744,0.8217077002178887,-0.17829229978211125,1.74951593563828,0.2850216002243,0.0,1.3051244246514078,1.5378751722798412,0.2327507476284334,MSFT,100.0,0.5463582850875636,30000,330.0,0.010000000000001563,27621.0
size_bucket,small,15255,1.0756898841177,0.07568988411770006,2.165629897914883,0.15495241833839035,1.4368e-318,1.5411697443325583,1.6718988256285516,0.13072908129599337,MSFT,100.0,0.5463582850875636,30000,330.0,0.010000000000001563,27621.0
spread_bucket,tight,19646,1.2923003989832536,0.29230039898325355,2.3100310074184693,0.09138954370668734,6.014167891058705e-143,1.55590594602086,1.6524376504588614,0.09653170443800141,MSFT,100.0,0.5463582850875636,30000,330.0,0.010000000000001563,27621.0
spread_bucket,wide,10353,0.3029434826430084,-0.6970565173569916,0.7046185543473162,0.5603859068148389,0.0,1.1770473052571928,1.5179617544810917,0.3409144492238989,MSFT,100.0,0.5463582850875636,30000,330.0,0.010000000000001563,27621.0
imbalance_bucket,ask_heavy,13634,0.9469540645782292,-0.05304593542177083,1.9470941586858095,0.21568127485640304,0.0,1.4199811236762527,1.5946075512656972,0.17462642758944447,MSFT,100.0,0.5463582850875636,30000,330.0,0.010000000000001563,27621.0
imbalance_bucket,bid_heavy,11376,0.9229509162420688,-0.07704908375793118,1.8958149541378961,0.23953029902901685,0.0,1.4587427966377093,1.6547492956172523,0.19600649897954292,MSFT,100.0,0.5463582850875636,30000,330.0,0.010000000000001563,27621.0
imbalance_bucket,neutral,4989,1.0251846411302303,0.025184641130230334,2.2383758615605425,0.18422647773171716,1.691932841276745e-147,1.3627216420326567,1.526145677321939,0.1634240352892824,MSFT,100.0,0.5463582850875636,30000,330.0,0.010000000000001563,27621.0
depth_bucket,high,15024,0.6864997393768861,-0.31350026062311387,1.4544906043042076,0.33295821327066194,0.0,1.313283640612531,1.5360369648792032,0.22275332426667216,MSFT,100.0,0.5463582850875636,30000,330.0,0.010000000000001563,27621.0
depth_bucket,low,14975,1.2160891772841222,0.21608917728412225,2.3612297054831037,0.1280211196669238,1.324493231048214e-213,1.5373973656287725,1.6762489993130136,0.13885163368424114,MSFT,100.0,0.5463582850875636,30000,330.0,0.010000000000001563,27621.0
