ticker,event_group,event_types,beta_pair,n_events_raw,event_share,mu,rho,rho_slow,rho_fast,fast_share,beta_slow,beta_fast,neg_loglik,aic,success,n_events_fit,horizon,event_rate_fit,residual_mean,residual_variance,residual_ks_stat,residual_ks_pvalue
AAPL,execution,"4,5","5,100",34990,0.29528173709039046,0.3562260481061876,0.7221853750796011,0.09875646764440214,0.623428907435199,0.8632532988728594,5.0,100.0,-53259.77745423131,-106513.55490846263,True,30000,23399.638136466998,1.2820711083239666,1.000044807518348,2.3044599629199682,0.33944360752247194,0.0
AAPL,execution,"4,5","1,20",34990,0.29528173709039046,0.2732766941480254,0.7869211853964106,0.10365892558347248,0.6832622598129382,0.868272798461698,1.0,20.0,-35371.59412475137,-70737.18824950274,True,30000,23399.638136466998,1.2820711083239666,1.0000423429707934,2.8283028381905395,0.41725796131842496,0.0
AMZN,all,all,"1,100",57515,1.0,0.3584011437569364,0.7205187545518177,0.2275642218892453,0.4929545326625724,0.6841661366180587,1.0,100.0,-29604.23037523595,-59202.4607504719,True,30000,23399.941957546995,1.2820544621190542,1.0000327072712225,1.6868873516163703,0.1520581664271895,0.0
AMZN,all,all,"5,100",57515,1.0,0.49699661307357595,0.6123678122214529,0.13251194279243186,0.479855869429021,0.7836072697685961,5.0,100.0,-28746.841044702796,-57487.68208940559,True,30000,23399.941957546995,1.2820544621190542,1.0000325404264012,1.836724015929167,0.15333522996721705,0.0
AMZN,all,all,"1,20",57515,1.0,0.38099550884528216,0.7028841255470235,0.1439979525052137,0.5588861730418098,0.7951327291775916,1.0,20.0,-18749.134505652204,-37492.26901130441,True,30000,23399.941957546995,1.2820544621190542,1.0000335739290618,2.205459401480044,0.26148451742335677,0.0
AMZN,limit,1,"1,100",27845,0.4841345735894984,0.3487358773757198,0.7069873016116172,0.21404457032558824,0.4929427312860289,0.6972441091407701,1.0,100.0,-26064.908396278788,-52123.816792557576,True,27845,23399.768664789997,1.189969029133985,1.0000414269672808,1.8363488426774606,0.1946037878531536,0.0
AMZN,limit,1,"5,100",27845,0.4841345735894984,0.47571435676069906,0.6002584551785398,0.1181976265159116,0.4820608286626282,0.8030887770156355,5.0,100.0,-25300.42259317892,-50594.84518635784,True,27845,23399.768664789997,1.189969029133985,1.0000430071890571,1.9647456069497087,0.1955174948672747,0.0
AMZN,limit,1,"1,20",27845,0.4841345735894984,0.3685469396796109,0.6903281916873266,0.1370869583112466,0.55324123337608,0.80141770253338,1.0,20.0,-14993.034627535577,-29980.069255071154,True,27845,23399.768664789997,1.189969029133985,1.0000382700142338,2.3357824284495874,0.2890332113728966,0.0
AMZN,cancel_delete,"2,3","1,100",18251,0.3173259149787012,0.2634524087912387,0.6623489258092694,0.23791334059468378,0.42443558521458563,0.6408036137387901,1.0,100.0,-6159.763590997758,-12313.527181995516,True,18251,23397.680329292998,0.7800345907431878,1.0000550816481533,1.694745438877549,0.1498484629625362,0.0
AMZN,cancel_delete,"2,3","5,100",18251,0.3173259149787012,0.3614527146419109,0.5366563510442256,0.12317705965596343,0.41347929138826217,0.7704731167044132,5.0,100.0,-5470.385981852036,-10934.771963704072,True,18251,23397.680329292998,0.7800345907431878,1.000055550782334,1.9135128041790221,0.15095190728196867,0.0
AMZN,cancel_delete,"2,3","1,20",18251,0.3173259149787012,0.27534428035896086,0.64709389968718,0.16607577074171126,0.48101812894546875,0.7433513577828564,1.0,20.0,-227.60009805000664,-449.2001961000133,True,18251,23397.680329292998,0.7800345907431878,1.0000547281818133,2.086355452094887,0.23441211002215934,0.0
