time_index,inventory,rho_hat,epsilon,ambiguity,rho_worst,value
2,-5,0.3,0.005,absolute_gamma,0.305,-1.663644663361693
2,-4,0.3,0.005,absolute_gamma,0.305,-1.0036117406875777
2,-3,0.3,0.005,absolute_gamma,0.305,-0.49656887538233185
2,-2,0.3,0.005,absolute_gamma,0.305,-0.16579607830911572
2,-1,0.3,0.005,absolute_gamma,0.305,0.01364183630498527
2,0,0.3,0.005,absolute_gamma,0.305,0.07446368790408953
2,1,0.3,0.005,absolute_gamma,0.305,0.01364183630498527
2,2,0.3,0.005,absolute_gamma,0.305,-0.16579607830911572
2,3,0.3,0.005,absolute_gamma,0.305,-0.49656887538233185
2,4,0.3,0.005,absolute_gamma,0.305,-1.0036117406875777
2,5,0.3,0.005,absolute_gamma,0.305,-1.663644663361693
3,-5,0.3,0.005,absolute_gamma,0.305,-1.650168851124629
3,-4,0.3,0.005,absolute_gamma,0.305,-0.9981453147754098
3,-3,0.3,0.005,absolute_gamma,0.305,-0.4963060263752281
3,-2,0.3,0.005,absolute_gamma,0.305,-0.1679556059046911
3,-1,0.3,0.005,absolute_gamma,0.305,0.010681682765968861
3,0,0.3,0.005,absolute_gamma,0.305,0.07121416045012285
3,1,0.3,0.005,absolute_gamma,0.305,0.010681682765968861
3,2,0.3,0.005,absolute_gamma,0.305,-0.1679556059046911
3,3,0.3,0.005,absolute_gamma,0.305,-0.4963060263752281
3,4,0.3,0.005,absolute_gamma,0.305,-0.9981453147754098
3,5,0.3,0.005,absolute_gamma,0.305,-1.650168851124629
4,-5,0.3,0.005,absolute_gamma,0.305,-1.636241014887795
4,-4,0.3,0.005,absolute_gamma,0.305,-0.9923852033824464
4,-3,0.3,0.005,absolute_gamma,0.305,-0.4959066277906434
4,-2,0.3,0.005,absolute_gamma,0.305,-0.1700737074606874
4,-1,0.3,0.005,absolute_gamma,0.305,0.007726121005998601
4,0,0.3,0.005,absolute_gamma,0.305,0.06795862797483819
4,1,0.3,0.005,absolute_gamma,0.305,0.007726121005998601
4,2,0.3,0.005,absolute_gamma,0.305,-0.1700737074606874
4,3,0.3,0.005,absolute_gamma,0.305,-0.4959066277906434
4,4,0.3,0.005,absolute_gamma,0.305,-0.9923852033824464
4,5,0.3,0.005,absolute_gamma,0.305,-1.636241014887795
5,-5,0.3,0.005,absolute_gamma,0.305,-1.6218523943320955
5,-4,0.3,0.005,absolute_gamma,0.305,-0.986322599876234
5,-3,0.3,0.005,absolute_gamma,0.305,-0.4953653184317661
5,-2,0.3,0.005,absolute_gamma,0.305,-0.17214843852525946
5,-1,0.3,0.005,absolute_gamma,0.305,0.0047752723522366996
