experiment,family,rho,epsilon,one_minus_rho,premium,spectral_gap,perron_condition,rho_worst
matrix_resolvent,rank1,0.7,0.02,0.30000000000000004,0.0027651748512475052,0.6999999999999997,1.1370411835478846,0.7175895124023511
matrix_resolvent,block,0.7,0.02,0.30000000000000004,0.0026483419453549374,0.3479216735010645,1.0446873658613056,0.7191444834632515
matrix_resolvent,near_degenerate,0.7,0.02,0.30000000000000004,0.0027036892751004303,0.6643773610991774,1.0774830530431583,0.7185617768590544
matrix_resolvent,sparse,0.7,0.02,0.30000000000000004,0.005784492662359549,0.42187533532185706,3.4619192513515338,0.7057771422577784
minimal_relative_slack,scalar,0.85,0.02,0.15000000000000002,0.001422222222222222,,,0.87
absolute_gamma_derivative,scalar,0.85,0.02,0.15000000000000002,0.018962962962962956,,,0.87
matrix_resolvent,rank1,0.85,0.02,0.15000000000000002,0.025905794052896603,0.8499999999999998,1.1899175649926033,0.8668078870237741
matrix_resolvent,block,0.85,0.02,0.15000000000000002,0.02452048103454614,0.4878736713333615,1.0968413196346414,0.8682341781276637
matrix_resolvent,near_degenerate,0.85,0.02,0.15000000000000002,0.023944028144496008,0.8181681426054285,1.0325994577367998,0.8693685943277901
matrix_resolvent,sparse,0.85,0.02,0.15000000000000002,0.024768732483778002,0.4623514727082437,1.1352911087233044,0.8676166270010635
minimal_relative_slack,scalar,0.92,0.02,0.07999999999999996,0.005000000000000006,,,0.9400000000000001
absolute_gamma_derivative,scalar,0.92,0.02,0.07999999999999996,0.12500000000000022,,,0.9400000000000001
matrix_resolvent,rank1,0.92,0.02,0.07999999999999996,0.19549123133419263,0.9200000000000002,1.0156055859008453,0.9396926841262502
matrix_resolvent,block,0.92,0.02,0.07999999999999996,0.19643865098476695,0.42518419318958806,1.0426679557132457,0.9391815619636257
matrix_resolvent,near_degenerate,0.92,0.02,0.07999999999999996,0.19671817878546358,0.8692272030989256,1.0333126456131714,0.9393552262085516
matrix_resolvent,sparse,0.92,0.02,0.07999999999999996,0.34529807150552444,0.5720662237306309,2.462413374551126,0.9281221131296226
minimal_relative_slack,scalar,0.3,0.05,0.7,0.00016326530612244903,,,0.35
