scenario_id,path_id,rho_hat,rho_true,epsilon,policy,terminal_wealth,final_inventory,abs_inventory,fills,fill_rate,spread_capture,adverse_selection,inventory_penalty,arrival_simulator,dt,steps,audit_horizon,mean_total_events
rho0.920_eps0.0200_discrete,69,0.92,0.93,0.02,as_poisson,-12.13705270777577,-7.0,7.0,68.0,0.17,2.765179881656803,5.986854421596533,176.93999999999994,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,70,0.92,0.93,0.02,as_poisson,-7.327949658015296,-3.0,3.0,75.0,0.1875,2.550203550295858,5.447668039699138,96.13999999999997,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,71,0.92,0.93,0.02,as_poisson,-8.669421280611871,-2.0,2.0,35.0,0.0875,1.4600994082840235,3.040599164584563,109.07999999999986,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,72,0.92,0.93,0.02,as_poisson,-5.540335890147981,2.0,2.0,99.0,0.2475,2.895269822485203,8.616549127610625,68.81999999999994,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,73,0.92,0.93,0.02,as_poisson,-3.0821417354331277,-1.0,1.0,62.0,0.155,1.5351562130177518,4.794056486778032,25.439999999999866,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,74,0.92,0.93,0.02,as_poisson,-5.978183179227289,-2.0,2.0,231.0,0.5775,7.710908875739632,25.39519957587474,28.47999999999988,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,75,0.92,0.93,0.02,as_poisson,-11.953516108672453,-1.0,1.0,124.0,0.31,3.9303218934911177,11.49841006680812,81.15999999999968,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,76,0.92,0.93,0.02,as_poisson,-4.493522521701973,0.0,0.0,163.0,0.4075,4.8754923076923005,14.06900161162298,36.29999999999989,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,77,0.92,0.93,0.02,as_poisson,-8.02954018244475,3.0,3.0,50.0,0.125,1.440127810650888,3.8757015574603884,46.53999999999999,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,78,0.92,0.93,0.02,as_poisson,-6.038263668330023,-4.0,4.0,124.0,0.31,3.0253360946745538,10.766169459660048,26.039999999999953,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,79,0.92,0.93,0.02,as_poisson,-17.497657286123086,-11.0,11.0,51.0,0.1275,2.305151479289941,4.533239108756689,127.7199999999999,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,80,0.92,0.93,0.02,as_poisson,-14.688993650164228,-4.0,4.0,76.0,0.19,3.0752082840236663,7.025853605273511,139.49999999999974,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,81,0.92,0.93,0.02,as_poisson,-2.786955924442323,-1.0,1.0,73.0,0.1825,2.000189349112426,5.622617938315116,36.400000000000404,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,82,0.92,0.93,0.02,as_poisson,-2.5449648115290273,-3.0,3.0,25.0,0.0625,0.6600662721893492,2.1229080888278133,41.42000000000024,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,83,0.92,0.93,0.02,as_poisson,-5.407958748220842,-4.0,4.0,151.0,0.3775,3.9554591715976253,12.563136960259072,20.199999999999953,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,84,0.92,0.93,0.02,as_poisson,-3.2506481646335526,1.0,1.0,59.0,0.1475,1.4451514792899414,5.381869781887502,18.519999999999886,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,85,0.92,0.93,0.02,as_poisson,-25.7023754288433,2.0,2.0,160.0,0.4,6.740454437869817,13.434074143198373,142.18000000000052,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,86,0.92,0.93,0.02,as_poisson,-4.588066225891963,-1.0,1.0,56.0,0.14,1.7151420118343197,4.618526871309342,80.3399999999999,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,87,0.92,0.93,0.02,as_poisson,-3.395144811969372,1.0,1.0,59.0,0.1475,1.3651562130177513,4.7184229812229574,35.35999999999998,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,88,0.92,0.93,0.02,as_poisson,-7.426519319166687,-2.0,2.0,140.0,0.35,3.710369230769225,11.59720729209154,47.900000000000205,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,89,0.92,0.93,0.02,as_poisson,-3.9549994157927753,-1.0,1.0,143.0,0.3575,4.205459171597628,12.912239209890771,37.399999999999906,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,90,0.92,0.93,0.02,as_poisson,-14.497429018038954,7.0,7.0,169.0,0.4225,6.545506508875735,15.947752302825123,74.92000000000013,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,91,0.92,0.93,0.02,as_poisson,-12.859686665612152,0.0,0.0,252.0,0.63,7.975814201183416,23.648750578908164,32.079999999999835,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,92,0.92,0.93,0.02,as_poisson,-5.605914410449685,-2.0,2.0,93.0,0.2325,2.430246153846152,7.581997618026179,35.48000000000002,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,93,0.92,0.93,0.02,as_poisson,-7.456782935995462,1.0,1.0,124.0,0.31,3.905336094674551,9.455370553898064,49.08000000000013,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,94,0.92,0.93,0.02,as_poisson,-16.813620046082537,3.0,3.0,261.0,0.6525,9.220809467455616,27.187467121867257,57.660000000000004,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,95,0.92,0.93,0.02,as_poisson,-6.121899447780063,4.0,4.0,45.0,0.1125,1.4301183431952667,3.4341546153515736,59.87999999999991,discrete,0.02,400,8.0,226.7875
