policy,terminal_wealth,final_inventory,abs_inventory,fills,bid_fills,ask_fills,fill_rate,spread_capture,adverse_selection,inventory_penalty,no_quote_side_time_frac,full_no_quote_time_frac,quote_updates,n_events,path_id,rho_hat,rho_true,epsilon,horizon,decision_dt,scenario_id
robust_gamma,0.5891162849475441,1.0,1.0,63,32,31,1.0,1.5956250000000003,0.9550968456245812,9.926894645155215,0.00849766430561899,0.0,51,63,13,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,0.861616284947751,1.0,1.0,63,32,31,1.0,1.8681250000000016,0.9550968456245812,9.926894645155215,0.00849766430561899,0.0,51,63,13,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,0.861616284947751,1.0,1.0,63,32,31,1.0,1.8681250000000016,0.9550968456245812,9.926894645155215,0.00849766430561899,0.0,51,63,13,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,-0.5619500619008694,-3.0,3.0,111,54,57,0.925,3.223124999999997,1.6725806418422309,44.63559878657914,0.10714839186077638,0.0,82,120,14,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma,-0.5438250619014401,-3.0,3.0,111,54,57,0.925,3.2412499999999946,1.6725806418422309,44.63559878657914,0.10714839186077638,0.0,82,120,14,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,-0.07757506190098303,-3.0,3.0,111,54,57,0.925,3.7074999999999974,1.6725806418422309,44.63559878657914,0.10714839186077638,0.0,82,120,14,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,-0.07757506190098303,-3.0,3.0,111,54,57,0.925,3.7074999999999974,1.6725806418422309,44.63559878657914,0.10714839186077638,0.0,82,120,14,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,0.013631702256653888,0.0,0.0,80,40,40,0.963855421686747,2.0618749999999997,1.1981153176286625,25.04385353353525,0.029741038227322582,0.0,71,83,15,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma,0.02550670225650098,0.0,0.0,80,40,40,0.963855421686747,2.0737499999999986,1.1981153176286625,25.04385353353525,0.029741038227322582,0.0,71,83,15,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,0.36050670225663684,0.0,0.0,80,40,40,0.963855421686747,2.4087500000000004,1.1981153176286625,25.04385353353525,0.029741038227322582,0.0,71,83,15,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,0.36050670225663684,0.0,0.0,80,40,40,0.963855421686747,2.4087500000000004,1.1981153176286625,25.04385353353525,0.029741038227322582,0.0,71,83,15,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,-0.18617568279422556,2.0,2.0,92,47,45,0.968421052631579,2.3956249999999986,1.369372580402441,32.52114548247643,0.018150878278437532,0.0,73,95,16,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma,-0.17055068279450977,2.0,2.0,92,47,45,0.968421052631579,2.4112499999999986,1.369372580402441,32.52114548247643,0.018150878278437532,0.0,73,95,16,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,0.24194931720579718,2.0,2.0,92,47,45,0.968421052631579,2.8237499999999986,1.369372580402441,32.52114548247643,0.018150878278437532,0.0,73,95,16,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,0.24194931720579718,2.0,2.0,92,47,45,0.968421052631579,2.8237499999999986,1.369372580402441,32.52114548247643,0.018150878278437532,0.0,73,95,16,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,-0.9425277824369448,3.0,3.0,83,43,40,0.9021739130434783,2.7434374999999984,1.2426218421909851,45.34562074899083,0.10458942880910747,0.0,76,92,17,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma,-0.9290902824372768,3.0,3.0,83,43,40,0.9021739130434783,2.7568749999999973,1.2426218421909851,45.34562074899083,0.10458942880910747,0.0,76,92,17,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,-0.6003402824370357,3.0,3.0,83,43,40,0.9021739130434783,3.0856249999999985,1.2426218421909851,45.34562074899083,0.10458942880910747,0.0,76,92,17,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,-0.6003402824370357,3.0,3.0,83,43,40,0.9021739130434783,3.0856249999999985,1.2426218421909851,45.34562074899083,0.10458942880910747,0.0,76,92,17,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,-0.6303106287393221,0.0,0.0,68,34,34,0.9444444444444444,1.8312499999999998,1.0251583491123029,32.596637965073086,0.0895662514516215,0.0,60,72,18,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma,-0.6190606287398723,0.0,0.0,68,34,34,0.9444444444444444,1.8424999999999998,1.0251583491123029,32.596637965073086,0.0895662514516215,0.0,60,72,18,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,-0.32718562873942725,0.0,0.0,68,34,34,0.9444444444444444,2.1343750000000004,1.0251583491123029,32.596637965073086,0.0895662514516215,0.0,60,72,18,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,-0.32718562873942725,0.0,0.0,68,34,34,0.9444444444444444,2.1343750000000004,1.0251583491123029,32.596637965073086,0.0895662514516215,0.0,60,72,18,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,-0.10326291606479315,0.0,0.0,14,7,7,1.0,0.23750000000000004,0.21426659623661237,4.790497432343562,0.0,0.0,14,14,19,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma,-0.10076291606488069,0.0,0.0,14,7,7,1.0,0.24000000000000005,0.21426659623661237,4.790497432343562,0.0,0.0,14,14,19,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,-0.025137916064835786,0.0,0.0,14,7,7,1.0,0.3156250000000002,0.21426659623661237,4.790497432343562,0.0,0.0,14,14,19,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,-0.025137916064835786,0.0,0.0,14,7,7,1.0,0.3156250000000002,0.21426659623661237,4.790497432343562,0.0,0.0,14,14,19,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,0.1915266949979753,4.0,4.0,94,49,45,0.9791666666666666,2.8506249999999973,1.403505666751613,32.81471919466814,0.036762949087993074,0.0,81,96,20,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma,0.20715169499780478,4.0,4.0,94,49,45,0.9791666666666666,2.8662499999999973,1.403505666751613,32.81471919466814,0.036762949087993074,0.0,81,96,20,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,0.6071516949979525,4.0,4.0,94,49,45,0.9791666666666666,3.2662499999999977,1.403505666751613,32.81471919466814,0.036762949087993074,0.0,81,96,20,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,0.6071516949979525,4.0,4.0,94,49,45,0.9791666666666666,3.2662499999999977,1.403505666751613,32.81471919466814,0.036762949087993074,0.0,81,96,20,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,-1.9456864007261765,5.0,5.0,39,22,17,0.8125,1.1268749999999998,0.5856247284668541,36.942079973936,0.12738210995652588,0.0,38,48,21,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma,-1.9388114007263106,5.0,5.0,39,22,17,0.8125,1.1337500000000003,0.5856247284668541,36.942079973936,0.12738210995652588,0.0,38,48,21,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,-1.7581864007261765,5.0,5.0,39,22,17,0.8125,1.3143750000000007,0.5856247284668541,36.942079973936,0.12738210995652588,0.0,38,48,21,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,-1.7581864007261765,5.0,5.0,39,22,17,0.8125,1.3143750000000007,0.5856247284668541,36.942079973936,0.12738210995652588,0.0,38,48,21,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,0.28891818055372553,-2.0,2.0,50,24,26,1.0,1.1178124999999999,0.7496843781477907,8.056920046706416,0.0,0.0,41,50,22,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma,0.2967306805535834,-2.0,2.0,50,24,26,1.0,1.125625,0.7496843781477907,8.056920046706416,0.0,0.0,41,50,22,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,0.5186056805537653,-2.0,2.0,50,24,26,1.0,1.3475000000000013,0.7496843781477907,8.056920046706416,0.0,0.0,41,50,22,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,0.5186056805537653,-2.0,2.0,50,24,26,1.0,1.3475000000000013,0.7496843781477907,8.056920046706416,0.0,0.0,41,50,22,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,0.5293428929379054,-2.0,2.0,82,40,42,1.0,2.051875,1.2251881749297837,17.681423358855575,0.0060245920840180656,0.0,67,82,23,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma,0.541217892937454,-2.0,2.0,82,40,42,1.0,2.06375,1.2251881749297837,17.681423358855575,0.0060245920840180656,0.0,67,82,23,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,0.8699678929378087,-2.0,2.0,82,40,42,1.0,2.3924999999999996,1.2251881749297837,17.681423358855575,0.0060245920840180656,0.0,67,82,23,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,0.8699678929378087,-2.0,2.0,82,40,42,1.0,2.3924999999999996,1.2251881749297837,17.681423358855575,0.0060245920840180656,0.0,67,82,23,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
