policy,epsilon,rho,one_minus_rho,half_spread,raw_uncapped_half_spread,capped,smooth_region,finite_diff_d_half_drho,analytic_uncapped_d_half_drho,analytic_local_d_half_drho,abs_derivative_error,expected_critical_exponent
robust_gamma,0.005,0.7,0.30000000000000004,0.02002777777777778,0.02002777777777778,False,True,0.000185185185589697,0.0001851851851851851,0.0001851851851851851,4.0451190032146644e-13,3.0
robust_gamma_abs,0.005,0.7,0.30000000000000004,0.02005925925925926,0.02005925925925926,False,True,0.0005185185203103465,0.0005185185185185182,0.0005185185185185182,1.7918282959814014e-12,4.0
nominal_hawkes,0.005,0.85,0.15000000000000002,0.02008888888888889,0.02008888888888889,False,True,0.0011851851956497055,0.0011851851851851845,0.0011851851851851845,1.0464520959832524e-11,3.0
robust_gamma,0.005,0.85,0.15000000000000002,0.02011111111111111,0.02011111111111111,False,True,0.0014814814946054998,0.0014814814814814808,0.0014814814814814808,1.3124019015639532e-11,3.0
robust_gamma_abs,0.005,0.85,0.15000000000000002,0.020385185185185183,0.020385185185185183,False,True,0.007111111209286591,0.007111111111111108,0.007111111111111108,9.81754833678794e-11,4.0
nominal_hawkes,0.005,0.92,0.07999999999999996,0.0203125,0.0203125,False,True,0.00781250024416233,0.007812500000000012,0.007812500000000012,2.4416231710067127e-10,3.0
robust_gamma,0.005,0.92,0.07999999999999996,0.020390625000000002,0.020390625000000002,False,True,0.009765625305159543,0.009765625000000016,0.009765625000000016,3.051595278552588e-10,3.0
robust_gamma_abs,0.005,0.92,0.07999999999999996,0.022265625000000004,0.022265625000000004,False,True,0.08105469155880841,0.08105468750000017,0.08105468750000017,4.058808247831003e-09,4.0
nominal_hawkes,0.005,0.97,0.030000000000000027,0.02222222222222222,0.02222222222222222,False,True,0.14814818106998728,0.14814814814814775,0.14814814814814775,3.2921839532296104e-08,3.0
robust_gamma,0.005,0.97,0.030000000000000027,0.022777777777777775,0.022777777777777775,False,True,0.18518522633748408,0.1851851851851847,0.1851851851851847,4.115229937373677e-08,3.0
robust_gamma_abs,0.005,0.97,0.030000000000000027,0.05925925925925916,0.059259259259259164,False,True,3.851853256515827,3.851851851851839,3.851851851851839,1.404663987791821e-06,4.0
nominal_hawkes,0.005,0.985,0.015000000000000013,0.028888888888888874,0.028888888888888874,False,True,1.1851862386839407,1.185185185185182,1.185185185185182,1.0534987586741096e-06,3.0
robust_gamma,0.005,0.985,0.015000000000000013,0.031111111111111093,0.031111111111111093,False,True,1.4814827983549692,1.4814814814814776,1.4814814814814776,1.3168734915858238e-06,3.0
